courseid;id_kategorie;cely_nazev_kurzu;short_code_kurzu;zacatek_kurzu;konec_kurzu;nazev_kategorie;kod_kurzu;kod_ved_urednik;kod_urednik;mesto;misto_konani;popis_kurzu;multi_date_course;cas_kurzu;druh_kurzu;zamekkod;max_students;Pocet_studentu;Pocet_ostatnich;Pocet_uspesnych_dokonceni;Pocet_osvedceni_a_certifikatu;Pocet_osvedceni;Pocet_certifikatu;Kontaktni_osoba;
278;8;Vybrané otázky poskytování informací podle zákona è. 106/1999 Sb.;VOPI;29.03.2021 09:00;29.03.2021 17:00;Course templates;VOPI;AK/VE-156/2019;AK/PV-255/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
279;8;Prùvodce veøejnımi zakázkami – Praktická aplikace institutù zákona o zadávání veøejnıch zakázek;VZAI;29.03.2021 09:00;29.03.2021 17:00;Course templates;VZAI;AK/VE-83/2019;AK/PV-138/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
281;8;Prùvodce veøejnımi zakázkami – praxe pøi zadávání veøejné zakázky;VZPZ;29.03.2021 09:00;29.03.2021 17:00;Course templates;VZPZ;AK/VE-81/2019;AK/PV-136/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
282;8;Zákon è. 312/2002 Sb., o úøednících územních samosprávnıch celkù;ZOUR;29.03.2021 09:00;29.03.2021 17:00;Course templates;ZOUR;AK/VE-265/2019;AK/PV-415/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
306;8;Agenda pøestupkù v podmínkách územních samosprávnıch celkù;PUSC;29.03.2021 09:00;29.03.2021 17:00;Course templates;PUSC;AK/VE-273/2019;AK/PV-423/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
307;8;Aplikace zákona o registru smluv v praxi územních samosprávnıch celkù;AZRS;29.03.2021 09:00;29.03.2021 17:00;Course templates;AZRS;AK/VE-320/2019;AK/PV-506/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
308;8;Elektronizace veøejné správy;ELVS;29.03.2021 09:00;29.03.2021 17:00;Course templates;ELVS;AK/VE-291/2019;AK/PV-461/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
309;8;Finanèní kontrola ve veøejné správì;FKVS;29.03.2021 09:00;29.03.2021 17:00;Course templates;FKVS;AK/VE-110/2019;AK/PV-186/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
310;8;Hospodaøení a nakládání s majetkem obce;HNMO;29.03.2021 09:00;29.03.2021 17:00;Course templates;HNMO;AK/VE-131/2019;AK/PV-218/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
311;8;Hospodaøení obcí - rozpoèet a finanèní kontrola;HORF;29.03.2021 09:00;29.03.2021 17:00;Course templates;HORF;AK/VE-134/2019;AK/PV-221/2019;;;;;7;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
312;8;Interní pøedpisy obce;INPO;29.03.2021 09:00;29.03.2021 17:00;Course templates;INPO;AK/VE-271/2019;AK/PV-421/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
313;8;Místní poplatky v praxi obcí: Správa místních poplatkù dle daòového øádu – zvláštní èást;MPZC;29.03.2021 09:00;29.03.2021 17:00;Course templates;MPZÈ;AK/VE-326/2019;AK/PV-518/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
